name,diameter_min,diameter_max,velocity_kms,miss_distance_km,hazardous
(2024 KO1),0.009830033,0.0219806221,6.9627783712,2775545.276592741,0
(2024 KU1),0.0160899605,0.0359782453,7.002575371,8333360.328833658,0
(2024 LA1),0.018304378,0.0409298336,5.6478239437,12023972.1846323,0
279744 (1998 KM3),0.283501249,0.6339280645,21.5020354367,17391297.23790233,1
(2008 YN2),0.0146067964,0.0326617897,7.6958735178,4018013.720675023,0
(2016 LJ10),0.0483676488,0.1081533507,11.8310947539,9977471.557777435,0
(2018 VC),0.0143401923,0.0320656449,2.4089131834,22840335.729482476,0
(2020 BK3),0.0110803882,0.0247765013,8.8165584819,72015095.7482183,0
(2020 WF1),0.0483676488,0.1081533507,23.5083848683,43467474.9428346,0
(2020 WR1),0.0342416731,0.0765667087,16.9532996681,66823935.321566254,0
(2020 XP2),0.099667824,0.2228640296,9.9131546438,39885207.25001328,0
(2021 SQ3),0.1881719895,0.42076536,2.984745557,57700459.1069374,0
(2023 VL2),0.0060611492,0.0135531417,5.7135072829,43976134.04501951,0
(2024 JR17),0.0628861456,0.1406176963,14.5336918934,7400331.712894301,0
(2024 LM1),0.0200703514,0.0448786701,7.0040346493,6035467.138549007,0
(2024 LE4),0.0248058993,0.0554676771,17.9290938173,4947286.203374846,0
(2024 LG4),0.3361669212,0.7516920875,28.4713413657,31652238.38658881,1
(2024 WO3),0.0157237082,0.0351592805,10.1425738142,29403152.06986356,0
482566 (2012 WK4),0.131994239,0.2951480911,6.6091717054,17967703.934605423,0
(2014 FW32),0.0106795998,0.023880311,18.757224956,72357161.57030675,0
(2014 KE46),0.1661709017,0.3715694322,15.5126006749,36901182.0825928,0
(2014 WC201),0.0152951935,0.0342010925,16.1407149219,24958567.30829981,0
(2021 RC2),0.0246919266,0.0552128263,21.0879152602,66201824.18673074,0
(2022 BJ8),0.3487827332,0.7799019007,10.0336047953,22952053.937779564,0
(2023 HO2),0.0752583992,0.1682828966,23.5108859359,73947383.29317851,0
(2023 XL2),0.0024578477,0.0054959146,9.7919680012,47992549.41717209,0
(2024 KF),0.0608912622,0.1361570015,7.3176546461,9458826.22929812,0
(2024 KM),0.0738847787,0.1652113876,22.272747287,20689834.468926378,0
(2024 KS),0.0318093633,0.0711278987,7.9245870551,14724173.705742288,0
(2024 KF1),0.0413575665,0.0924783301,17.806969817,8674933.584975353,0
(2024 KK1),0.0158691979,0.0354846053,4.6012421858,4277172.029214804,0
(2024 KV1),0.0355267088,0.079440136,6.3961299302,12159379.305402609,0
(2024 KX1),0.0123184191,0.0275448225,10.7428956782,1351003.030188325,0
(2024 KA2),0.0067694748,0.0151370059,13.1413952898,349183.883220287,0
(2024 LK1),0.0411675457,0.0920534307,13.7861615389,11157300.336853955,0
419624 (2010 SO16),0.2170475943,0.4853331752,16.5457301337,66585937.01838671,1
(2007 YN56),0.0667659413,0.1492931834,14.1572079537,18684956.4724014,0
(2012 LJ2),0.1214940408,0.2716689341,18.5170866774,41165345.61958473,0
(2023 KD2),0.0278326768,0.0622357573,20.2851275603,62700669.34165086,0
(2023 RF4),0.0235806068,0.0527278398,13.5537060304,59571132.106296025,0
(2023 VO6),0.0063468024,0.0141918816,5.5421201692,22670027.350842234,0
(2024 KZ),0.0271991277,0.0608190985,9.8521090852,4387865.522021965,0
(2024 KL1),0.0749126183,0.1675097069,31.2749347682,10528041.744905163,0
(2024 KT1),0.0106305314,0.023770591,7.1631145236,1852970.769246002,0
(2024 LM),0.0067383719,0.0150674576,6.6129598098,954670.251642055,0
(2024 LQ1),0.0210162379,0.0469937366,5.8109827976,3847195.033780635,0
(2024 LO4),0.0078805218,0.0176213825,4.6847142381,2974063.10118208,0
(2024 JE52),0.1295850727,0.2897610314,6.9009762098,54129109.78473845,0
(2024 XM6),0.0319561887,0.0714562102,11.631094409,17981327.094556548,0
14827 Hypnos (1986 JK),0.4597851883,1.028110936,13.9456518958,11735069.092243828,1
101955 Bennu (1999 RQ36),0.2412986969,0.5395602892,6.615318097,53827044.0096025,1
(2003 WJ98),0.065246163,0.1458948557,12.4071619302,72593654.574839,0
(2015 LG14),0.0608912622,0.1361570015,6.8050971212,28421179.907750767,0
(2015 OQ21),0.0069912523,0.0156329154,20.2146808675,58407655.975107715,0
(2017 GM7),0.4330668855,0.9683669947,19.4923449213,35078859.09985838,1
(2018 LB),0.0167708462,0.0375007522,11.6958606155,20085697.563050732,0
(2021 AR),0.0431077124,0.0963917753,16.2161803339,51675407.43585119,0
(2021 LR2),0.0267026877,0.0597090249,20.4348056765,65702543.38997593,0
(2021 UK),0.0303777061,0.0679266159,7.4887901581,70832052.67938738,0
(2021 XF),0.0056827032,0.0127069107,14.8314889917,64869443.42851534,0
(2022 DU4),0.0501828101,0.1122121746,8.8944551308,37117790.55320443,0
(2023 KK4),0.0081762653,0.0182826851,22.8847493289,27399425.438385252,0
(2023 XQ),0.0232570687,0.0520043867,15.3968744699,62764579.28705015,0
(2024 JV14),0.0470494961,0.1052058716,16.5991769846,9110726.407042788,0
(2024 KJ1),0.0152249185,0.0340439527,4.1189193395,7802608.628166938,0
(2024 LF1),0.008366715,0.0187085435,8.9381627574,2723544.099554373,0
(2024 LJ1),0.0192555078,0.0430566244,9.6819655921,1111253.549302344,0
(2024 SY4),0.0071212294,0.015923553,4.0169409672,33128293.896578588,0
(2025 KR1),0.0308428837,0.0689667846,15.4727674403,16617952.589795388,0
